Voter_A,Voter_B,Voter_C,Voter_D,Voter_E,VP_1,VP_2,VP_3,Status Quo,Policy Decision,Total Euclidean Distance,Total Manhattan Distance,Distance first dimension,Distance second dimension,Distance third dimension,Number of dimensions,Number of VPs,Model,Optimization?
"(1.0, 2.0, 3.0, 1.2, 25.0)","(4.0, 3.2, 2.5, 0.8, 5.0)","(3.0, 2.0, 1.0, 1.0, 15.0)","(2.0,)","(2.5,)","(1.0, 2.0, 3.0, 1.2, 25.0)",NA,NA,"(5.0,)","(5.0,)",0.0,0.0,0.0,0.0,0.0,1,1,4,0
"(1.1419169668150206,)","(4.14191696681502,)","(3.1419169668150206,)","(2.1419169668150206,)","(2.6419169668150206,)","(1.1419169668150206,)",NA,NA,"(5.387144847834996,)","(5.387144847834996,)",0.0,0.0,0.0,0.0,0.0,1,1,4,0
"(1.0530580080160976,)","(4.053058008016097,)","(3.0530580080160976,)","(2.0530580080160976,)","(2.5530580080160976,)","(1.0530580080160976,)",NA,NA,"(5.4468711765033255,)","(5.4468711765033255,)",0.0,0.0,0.0,0.0,0.0,1,1,4,0
"(1.0363161159910663,)","(4.036316115991066,)","(3.0363161159910668,)","(2.0363161159910663,)","(2.5363161159910668,)","(1.0363161159910663,)",NA,NA,"(5.770679491621867,)","(5.770679491621867,)",0.0,0.0,0.0,0.0,0.0,1,1,4,0
"(1.3451467437852267,)","(4.345146743785227,)","(3.3451467437852274,)","(2.345146743785227,)","(2.8451467437852274,)","(1.3451467437852267,)",NA,NA,"(6.249427804984101,)","(6.249427804984101,)",0.0,0.0,0.0,0.0,0.0,1,1,4,0
"(2.0388718058296287,)","(5.038871805829629,)","(4.038871805829629,)","(3.038871805829629,)","(3.5388718058296296,)","(2.0388718058296287,)",NA,NA,"(6.373996760349758,)","(6.373996760349758,)",0.0,0.0,0.0,0.0,0.0,1,1,4,0
"(2.202095893413717,)","(5.202095893413717,)","(4.202095893413717,)","(3.2020958934137176,)","(3.702095893413718,)","(2.202095893413717,)",NA,NA,"(6.6412327631545525,)","(6.6412327631545525,)",0.0,0.0,0.0,0.0,0.0,1,1,4,0
"(2.1929773382633133,)","(5.192977338263313,)","(4.192977338263313,)","(3.1929773382633138,)","(3.692977338263314,)","(2.1929773382633133,)",NA,NA,"(6.748522032639072,)","(6.748522032639072,)",0.0,0.0,0.0,0.0,0.0,1,1,4,0
"(2.4192432660787624,)","(5.419243266078762,)","(4.419243266078762,)","(3.419243266078763,)","(3.9192432660787633,)","(2.4192432660787624,)",NA,NA,"(6.91159080722324,)","(6.91159080722324,)",0.0,0.0,0.0,0.0,0.0,1,1,4,0
"(2.599712608353008,)","(5.599712608353008,)","(4.599712608353008,)","(3.5997126083530087,)","(4.099712608353009,)","(2.599712608353008,)",NA,NA,"(7.18838774685284,)","(7.18838774685284,)",0.0,0.0,0.0,0.0,0.0,1,1,4,0
